2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:stop:113 | 🛑 Остановка планировщика...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:stop:116 | ✅ Планировщик остановлен
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:49 | ⚡ Запуск планировщика задач...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:74 | 🔄 Обычный запуск - используем адаптивный режим...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:89 | ✅ Планировщик запущен в почасовом режиме (каждый час)
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:96 | ⏹️ Получен сигнал остановки планировщика...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:stop:113 | 🛑 Остановка планировщика...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:stop:116 | ✅ Планировщик остановлен
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:49 | ⚡ Запуск планировщика задач...
2025-08-06 11:43:27 | ERROR | app.scheduler.scheduler:start:99 | ❌ Ошибка планировщика: Test error
2025-08-06 11:43:27 | WARNING | app.scraper.scraper:init_browser:58 | ⚠️ Попытка 1/3 инициализации браузера неудачна: object AsyncMock can't be used in 'await' expression
2025-08-06 11:43:28 | WARNING | app.scraper.scraper:init_browser:58 | ⚠️ Попытка 2/3 инициализации браузера неудачна: object AsyncMock can't be used in 'await' expression
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:init_browser:58 | ⚠️ Попытка 3/3 инициализации браузера неудачна: object AsyncMock can't be used in 'await' expression
2025-08-06 11:43:30 | ERROR | app.scraper.scraper:init_browser:62 | ❌ Не удалось инициализировать браузер после 3 попыток
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:init_browser:58 | ⚠️ Попытка 1/3 инициализации браузера неудачна: First attempt failed
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:init_browser:58 | ⚠️ Попытка 2/3 инициализации браузера неудачна: Second attempt failed
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:init_browser:58 | ⚠️ Попытка 3/3 инициализации браузера неудачна: object AsyncMock can't be used in 'await' expression
2025-08-06 11:43:30 | ERROR | app.scraper.scraper:init_browser:62 | ❌ Не удалось инициализировать браузер после 3 попыток
2025-08-06 11:43:30 | INFO | app.scraper.scraper:close_browser:70 | 🔴 Браузер закрыт
2025-08-06 11:43:30 | ERROR | app.scraper.scraper:close_browser:72 | ❌ Ошибка закрытия браузера: Close error
2025-08-06 11:43:30 | INFO | app.scraper.scraper:is_first_run:82 | 📊 Статей в базе: 0, первый запуск: True
2025-08-06 11:43:30 | INFO | app.scraper.scraper:is_first_run:82 | 📊 Статей в базе: 1, первый запуск: False
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:_parse_publish_date:110 | ⚠️ Не удалось распарсить дату: invalid date string
2025-08-06 11:43:30 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 1 (попытка 1/3): https://www.ft.com/world
2025-08-06 11:43:30 | INFO | app.scraper.scraper:scrape_single_page:206 | 🔍 Найдено 1 элементов статей на странице 1
2025-08-06 11:43:30 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 1 статей со страницы 1
2025-08-06 11:43:30 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 1 (попытка 1/3): https://www.ft.com/world
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:scrape_single_page:201 | ⚠️ Не найден список статей на странице 1
2025-08-06 11:43:30 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 2 статей
2025-08-06 11:43:30 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 2 новых статей в базу данных
2025-08-06 11:43:30 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 0 статей
2025-08-06 11:43:30 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 0 новых статей в базу данных
2025-08-06 11:43:30 | INFO | app.scraper.scraper:save_articles_to_db:286 | 📝 Нет статей для сохранения
2025-08-06 11:43:30 | WARNING | app.scraper.scraper:save_articles_to_db:298 | ⚠️ Пропущена статья с неполными данными: No URL
2025-08-06 11:43:30 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 0 статей
2025-08-06 11:43:30 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 0 новых статей в базу данных
2025-08-06 11:43:30 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 11:43:30 | INFO | app.scraper.scraper:run_scraping:357 | 🆕 Первый запуск - собираем статьи за последние 30 дней...
2025-08-06 11:43:30 | INFO | app.scraper.scraper:run_scraping:375 | 🎉 Скрапинг завершен! Обработано: 1, сохранено: 1
